date,open,high,low,close,volume
2021-01-02 16:30:00,767.93,779.3,767.6,773.9,45284.50079
2021-01-02 16:45:00,773.75,782.98,768.95,781.94,45165.82023
2021-01-02 17:00:00,781.94,784.66,775.33,776.72,29653.31463
2021-01-02 17:15:00,776.7,779.68,775.0,776.04,16775.29477
2021-01-02 17:30:00,776.04,779.64,774.04,778.07,14743.76587
2021-01-02 17:45:00,778.15,781.67,777.87,778.84,13289.28459
2021-01-02 18:00:00,778.77,780.66,772.0,776.65,17879.30768
2021-01-02 18:15:00,776.65,778.77,775.57,778.0,8372.98115
2021-01-02 18:30:00,778.0,781.0,777.18,780.6,11194.09486
2021-01-02 18:45:00,780.55,784.39,778.31,780.01,20309.39484
2021-01-02 19:00:00,780.0,783.66,776.77,782.2,15153.24727
2021-01-02 19:15:00,782.2,783.8,780.6,783.72,11630.57344
2021-01-02 19:30:00,783.72,786.54,782.99,786.41,15151.83666
2021-01-02 19:45:00,786.42,787.69,783.62,784.79,14625.65753
2021-01-02 20:00:00,784.79,785.48,770.25,778.33,27828.42322
2021-01-02 20:15:00,778.26,778.82,765.01,768.08,28777.62546
2021-01-02 20:30:00,768.07,774.07,765.38,772.37,21447.4155
2021-01-02 20:45:00,772.37,772.43,750.12,756.55,44593.73507
2021-01-02 21:00:00,756.57,768.55,751.2,766.31,33106.44906
2021-01-02 21:15:00,766.36,771.34,765.02,767.43,16067.1139
2021-01-02 21:30:00,767.4,768.4,761.25,767.18,12537.23354
2021-01-02 21:45:00,767.33,770.26,765.18,768.95,8124.96696
2021-01-02 22:00:00,768.94,770.0,765.06,769.99,4985.60701
2021-01-02 22:15:00,770.0,774.29,769.57,772.01,6772.21582
2021-01-02 22:30:00,772.01,774.31,770.09,773.48,5641.05147
2021-01-02 22:45:00,773.39,774.5,770.43,772.19,4212.39567
2021-01-02 23:00:00,772.14,772.6,762.98,769.65,10476.7459
2021-01-02 23:15:00,769.5,777.0,768.33,776.86,11766.08869
2021-01-02 23:30:00,776.78,777.41,773.0,774.79,8925.16491
2021-01-02 23:45:00,774.78,777.73,773.64,774.56,7123.43586
2021-01-03 00:00:00,774.44,778.4,772.1,772.93,12947.12838
2021-01-03 00:15:00,772.94,774.14,770.59,773.84,6908.49161
2021-01-03 00:30:00,773.86,778.0,773.71,777.48,8199.70991
2021-01-03 00:45:00,777.39,778.86,775.7,775.81,6527.41175
2021-01-03 01:00:00,775.84,777.9,772.35,775.23,8869.2005
2021-01-03 01:15:00,775.2,776.54,774.74,776.38,5339.50182
2021-01-03 01:30:00,776.32,777.38,773.72,774.02,6069.62047
2021-01-03 01:45:00,774.02,779.0,774.02,776.97,7636.16432
2021-01-03 02:00:00,776.98,778.82,776.42,777.17,5036.4041
2021-01-03 02:15:00,777.18,777.79,776.37,777.24,4489.10757
2021-01-03 02:30:00,777.24,778.78,775.48,778.77,4923.80672
2021-01-03 02:45:00,778.77,781.59,778.08,778.94,9141.58846
2021-01-03 03:00:00,778.95,779.28,774.86,775.21,8469.38234
